city,crime,ind_string,value
194,Santa Marta de Penaguião,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",3,3
195,Santa Marta de Penaguião,Condução sem habilitação legal,3,3
196,Moimenta da Beira,Crimes contra o Estado,3,3
197,Penedono,Ofensa à integridade física voluntária simples,3,3
198,Penedono,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",3,3
199,Penedono,Condução sem habilitação legal,3,3
200,São João da Pesqueira,Crimes contra animais de companhia,3,3
201,Alfândega da Fé,Ofensa à integridade física voluntária simples,3,3
202,Alfândega da Fé,Furto de veículo e em veículo motorizado,3,3
203,Macedo de Cavaleiros,Crimes contra o Estado,3,3
204,Vila Flor,Crimes contra animais de companhia,3,3
205,Vimioso,Crimes contra animais de companhia,3,3
206,Vimioso,Furto de veículo e em veículo motorizado,3,3
207,Vimioso,Crimes contra o Estado,3,3
208,Vimioso,Crimes previstos em legislação avulsa,3,3
209,Aljezur,Crimes contra animais de companhia,3,3
210,Lagos,Crimes contra a identidade cultural e integridade pessoal,3,3
211,São Brás de Alportel,Roubo por esticão e na via pública,3,3
212,Óbidos,Crimes contra animais de companhia,3,3
213,Cadaval,Crimes contra animais de companhia,3,3
214,Cadaval,Roubo por esticão e na via pública,3,3
215,Lourinhã,Roubo por esticão e na via pública,3,3
216,Torres Vedras,Crimes contra a identidade cultural e integridade pessoal,3,3
217,Albergaria-a-Velha,Roubo por esticão e na via pública,3,3
218,Ílhavo,Crimes contra animais de companhia,3,3
219,Oliveira do Bairro,Roubo por esticão e na via pública,3,3
220,Vagos,Roubo por esticão e na via pública,3,3
221,Condeixa-a-Nova,Crimes contra animais de companhia,3,3
222,Lousã,Crimes contra animais de companhia,3,3
223,Lousã,Crimes contra o Estado,3,3
224,Mira,Roubo por esticão e na via pública,3,3
225,Mira,Crimes contra o Estado,3,3
226,Mira,Condução sem habilitação legal,3,3
227,Montemor-o-Velho,Crimes contra animais de companhia,3,3
228,Montemor-o-Velho,Crimes contra o Estado,3,3
229,Penela,Condução sem habilitação legal,3,3
230,Tábua,Crimes contra o Estado,3,3
231,Batalha,Roubo por esticão e na via pública,3,3
232,Castanheira de Pêra,Violência doméstica contra cônjuge ou análogos,3,3
233,Castanheira de Pêra,Ofensa à integridade física voluntária simples,3,3
234,Castanheira de Pêra,Furto de veículo e em veículo motorizado,3,3
235,Figueiró dos Vinhos,Furto de veículo e em veículo motorizado,3,3
236,Leiria,Crimes contra a identidade cultural e integridade pessoal,3,3
237,Marinha Grande,Crimes contra a identidade cultural e integridade pessoal,3,3
238,Pedrógão Grande,Furto de veículo e em veículo motorizado,3,3
239,Nelas,Crimes contra animais de companhia,3,3
240,Sátão,Crimes contra o Estado,3,3
241,Vila Nova de Paiva,Crimes contra o Estado,3,3
242,Vila Nova de Paiva,Condução sem habilitação legal,3,3
243,Viseu,Crimes contra a identidade cultural e integridade pessoal,3,3
244,Idanha-a-Nova,Crimes contra animais de companhia,3,3
245,Idanha-a-Nova,Crimes contra o Estado,3,3
246,Oleiros,Crimes contra o Estado,3,3
247,Oleiros,Condução sem habilitação legal,3,3
248,Penamacor,Crimes contra animais de companhia,3,3
249,Vila Velha de Ródão,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",3,3
250,Vila de Rei,Furto de veículo e em veículo motorizado,3,3
251,Ferreira do Zêzere,Furto de veículo e em veículo motorizado,3,3
252,Vila Nova da Barquinha,Roubo por esticão e na via pública,3,3
253,Beiras e Serra da Estrela,Crimes de homicídio voluntário consumado,3,3
254,Belmonte,Crimes contra animais de companhia,3,3
255,Belmonte,Furto de veículo e em veículo motorizado,3,3
256,Almeida,Condução sem habilitação legal,3,3
257,Gouveia,Crimes contra animais de companhia,3,3
258,Manteigas,Ofensa à integridade física voluntária simples,3,3
259,Manteigas,Crimes previstos em legislação avulsa,3,3
260,Mêda,Furto de veículo e em veículo motorizado,3,3
261,Pinhel,Furto de veículo e em veículo motorizado,3,3
262,Sabugal,Crimes contra o Estado,3,3
263,Trancoso,Crimes contra animais de companhia,3,3
264,Trancoso,Furto de veículo e em veículo motorizado,3,3
265,Trancoso,Condução sem habilitação legal,3,3
266,Cascais,Crimes de homicídio voluntário consumado,3,3
267,Seixal,Crimes de homicídio voluntário consumado,3,3
268,Alentejo Litoral,Crimes de homicídio voluntário consumado,3,3
269,Grândola,Roubo por esticão e na via pública,3,3
270,Baixo Alentejo,Crimes contra a identidade cultural e integridade pessoal,3,3
271,Alvito,Furto de veículo e em veículo motorizado,3,3
272,Barrancos,Furto de veículo e em veículo motorizado,3,3
273,Castro Verde,Crimes contra animais de companhia,3,3
274,Castro Verde,Roubo por esticão e na via pública,3,3
275,Alpiarça,Roubo por esticão e na via pública,3,3
276,Crato,Condução sem habilitação legal,3,3
277,Gavião,Crimes contra a vida em sociedade,3,3
278,Gavião,Crimes previstos em legislação avulsa,3,3
279,Marvão,Condução sem habilitação legal,3,3
280,Nisa,Furto de veículo e em veículo motorizado,3,3
281,Sousel,Crimes previstos em legislação avulsa,3,3
